"t","x","exp","diff","y"
0.0,6.0,"5,5,5,5",-2.0,4.0
0.01,5.034990915598335,"5,5,5,5",-0.01899603594927335,5.015994879649061
0.015543486935561318,4.470135093267336,"5,5,5,5",1.0957460947241113,5.565881187991447
0.0254168026800418,3.4890405707163783,"5,5,5,5",2.9569494156523657,6.445989986368744
0.0327576646282444,2.828207548838126,"5,5,5,5",4.14762515837237,6.975832707210496
0.04145645909671187,2.157575401769802,"5,5,5,5",5.2826787429251185,7.44025414469492
0.0498955699664694,1.6334931072304224,"5,5,5,5",6.08991843822464,7.723411545455062
0.059209010003385854,1.1896479980342953,"5,5,5,5",6.679167882336017,7.868815880370312
0.06932430037136701,0.8400225676794026,"5,5,5,5",7.030613296622798,7.8706358643022005
0.08024260137539696,0.5790602547990036,"5,5,5,5",7.164108773540707,7.74316902833971
0.09026679462198076,0.4149305568394866,"5,5,5,5",7.133564937979323,7.54849549481881
0.10065648869571814,0.2971677091834443,"5,5,5,5",7.001585697832859,7.298753407016303
0.1109011943636289,0.21672021474554615,"5,5,5,5",6.808570176290657,7.0252903910362035
0.12137534733405352,0.15928988573645236,"5,5,5,5",6.572904227526634,6.732194113263087
0.13198278792615106,0.11847575934698253,"5,5,5,5",6.312756110506318,6.431231869853301
0.1428656445389998,0.08890341168729252,"5,5,5,5",6.035903802807243,6.124807214494536
0.15404158256258105,0.06734526261437684,"5,5,5,5",5.749736714682194,5.817081977296571
0.16559320132038885,0.05144759471619508,"5,5,5,5",5.45789564220546,5.509343236921655
0.17757228116352325,0.039635520847910576,"5,5,5,5",5.163482566293353,5.203118087141263
0.19005137579861317,0.030785578766023253,"5,5,5,5",4.868279540980686,4.89906511974671
0.203099454069012,0.024109286935227053,"5,5,5,5",4.573713200936288,4.597822487871515
0.21679716114565933,0.01903930685114792,"5,5,5,5",4.280734814827262,4.299774121678411
0.23123196746263808,0.015166643425801795,"5,5,5,5",3.9901207841299553,4.005287427555757
0.24650430522795283,0.012192766333971724,"5,5,5,5",3.702485952504188,3.71467871883816
0.26270000945796895,0.009902039874760026,"5,5,5,5",3.41887393266739,3.4287759725421503
0.27992283471079843,0.008132229340386501,"5,5,5,5",3.140164780245513,3.1482970095858995
0.2983195138763132,0.006760195448819224,"5,5,5,5",2.8668233280374293,2.8735835234862486
