"t","x","exp","diff","y"
0.0,6.0,"plot3",-2.0,4.0
0.02,6.0851001856701235,"plot3",-1.4772974931276739,4.60780269254245
0.03554210173130214,6.097104737842724,"plot3",-0.948277141585212,5.148827596257512
0.05722228440087265,6.022536907677589,"plot3",-0.01642358283565848,6.00611332484193
0.07868278325532813,5.834586595292119,"plot3",1.1312156739010568,6.965802269193176
0.10309791475999916,5.481393161059465,"plot3",2.683397792028142,8.164790953087607
0.12888566505554816,4.966178397101359,"plot3",4.528523511089817,9.494701908191177
0.1578483523309075,4.267760873756326,"plot3",6.686334011752435,10.954094885508761
0.19316350458514941,3.3621562741049655,"plot3",9.130475149095773,12.492631423200738
0.22361697827431923,2.634086325351895,"plot3",10.841141780949295,13.47522810630119
0.2552809239766939,1.9919380229227934,"plot3",12.117674743965928,14.109612766888722
0.2867317303311281,1.4881946178948564,"plot3",12.887251986872318,14.375446604767175
0.32051350098646847,1.0841089729774986,"plot3",13.24908885726784,14.333197830245338
0.35864838013408734,0.7638186410789243,"plot3",13.229268521382505,13.993087162461428
0.39665781127934385,0.547991065614732,"plot3",12.90945367965071,13.457444745265443
0.4335598725340033,0.40566008697395495,"plot3",12.42543871847295,12.831098805446905
0.4711923225274865,0.3060442115844838,"plot3",11.834097828964154,12.140142040548637
0.5093587649975939,0.2362545785294544,"plot3",11.1862499200458,11.422504498575254
0.5487716666180054,0.1861041036854466,"plot3",10.502252417847869,10.688356521533315
0.5896616768270785,0.14974023355564256,"plot3",9.800611352951293,9.950351586506935
0.6322356626992685,0.12320919036975499,"plot3",9.094485540651384,9.217694731021139
0.6770105210328068,0.10369513403019859,"plot3",8.388567100719108,8.492262234749306
0.7244111076102282,0.08939661043618723,"plot3",7.6877285202355825,7.77712513067177
0.7750015672503939,0.07909393453544904,"plot3",6.994522790682649,7.073616725218098
0.8293831348339918,0.07201892425359264,"plot3",6.311684259710308,6.383703183963901
0.8882541922260787,0.0677391562561972,"plot3",5.641894194543617,5.709633350799814
0.9523379483657598,0.06612701212746744,"plot3",4.988978344318866,5.055105356446334
1.0222698425873396,0.06737029189761748,"plot3",4.358695870315776,4.426066162213393
1.0985369896922117,0.07204236586470338,"plot3",3.7581643090918786,3.830206674956582
1.1809733128638713,0.08120900639071456,"plot3",3.1975825714529615,3.278791577843676
1.2682172521626323,0.09647811396633905,"plot3",2.689348069121855,2.785826183088194
1.358633343890981,0.12022804329785376,"plot3",2.2389248514936444,2.359152894791498
1.4507466358384835,0.1559801767974972,"plot3",1.8437240870495377,1.999704263847035
1.543572687679389,0.2090245407830593,"plot3",1.4941965109946427,1.703221051777702
1.6365132197590402,0.28725901589958724,"plot3",1.1763147179534417,1.4635737338530288
1.7292999479933848,0.4024687963646339,"plot3",0.872326510690346,1.2747953070549798
1.8219268557144885,0.5722483806718937,"plot3",0.5603111653432757,1.1325595460151694
1.9146464191993644,0.823017061170322,"plot3",0.21254197194373936,1.0355590331140614
2.007941008551268,1.1944519924116372,"plot3",-0.20651824808831665,0.9879337443233206
2.1017141157195236,1.7396785510749755,"plot3",-0.7353500467442518,1.0043285043307237
2.1878796261414015,2.4458165122324895,"plot3",-1.3405223163244306,1.1052941959080589
2.2645167487482363,3.273275544769743,"plot3",-1.958427303149367,1.314848241620376
2.3331766061161088,4.168663724774645,"plot3",-2.4890089573712846,1.6796547674033606
2.3952830842231427,5.038029247540567,"plot3",-2.760078802508201,2.2779504450323658
2.4535961894766936,5.75353408158532,"plot3",-2.4986896655094473,3.2548444160758727
2.512042671079158,6.097964174165905,"plot3",-1.2104390905089568,4.887525083656948
2.557712838667413,5.8864596831181215,"plot3",0.8577073210050683,6.74416700412319
2.599996377071636,5.235708453632587,"plot3",3.601891830177311,8.837600283809898
2.6410524285513635,4.282748909443965,"plot3",6.642909869011673,10.925658778455638
2.6870326476890005,3.1118220950909894,"plot3",9.745530298649856,12.857352393740845
2.725626154537093,2.248324617970128,"plot3",11.639883388138388,13.888208006108517
2.7634727591192068,1.5897517854331626,"plot3",12.754675426536807,14.34442721196997
2.801172056290257,1.116338448506986,"plot3",13.232674335287342,14.349012783794327
2.842720706724108,0.7619349188058511,"plot3",13.227854473531574,13.989789392337425
2.8842532939293832,0.5307428679968103,"plot3",12.86592261977713,13.39666548777394
2.923372207821368,0.3871336240802276,"plot3",12.33590623052276,12.723039854602987
2.963154253969679,0.2889045251481175,"plot3",11.698151319390512,11.987055844538629
3.0030564764713015,0.2219130062370535,"plot3",11.014761461232746,11.2366744674698
3.044137004640356,0.174473195249786,"plot3",10.302123344505997,10.476596539755784
3.086496203392331,0.1405970794792059,"plot3",9.581189577894385,9.72178665737359
3.1305667824976533,0.11609175004356935,"plot3",8.860886865100078,8.976978615143647
3.176845488647621,0.09824713394285742,"plot3",8.145929796084966,8.244176930027823
3.2258544225483177,0.08531543882670554,"plot3",7.439493239204881,7.524808678031587
3.278189065711187,0.07616806570614473,"plot3",6.743755311043218,6.8199233767493626
3.3345127798015746,0.07011692216129066,"plot3",6.060876901238603,6.130993823399894
3.3955554787006785,0.06681819058523887,"plot3",5.393560700776373,5.460378891361612
3.4620434881134603,0.06624507432389999,"plot3",4.745952674718802,4.812197749042702
3.534515230351603,0.0687109970747752,"plot3",4.1247147644336914,4.1934257615084665
3.6134532515589517,0.07497337947053628,"plot3",3.5364838309083226,3.611457210378859
3.6980572043066964,0.08628827038400796,"plot3",2.9941808182006135,3.0804690885846213
3.786853581021296,0.104538528987138,"plot3",2.5074610264312263,2.611999555418364
