"t","x","exp","diff","y"
0.0,6.0,"1.5,1,3,1",-2.0,4.0
0.02,5.693898929005339,"1.5,1,3,1",-1.4594535294216593,4.23444539958368
0.04526917869819405,5.294983302319131,"1.5,1,3,1",-0.7849501279259918,4.510033174393139
0.07518057922774647,4.817836075290274,"1.5,1,3,1",-0.02170107349514261,4.796135001795132
0.10905402805572065,4.28910874951253,"1.5,1,3,1",0.7658587018750671,5.054967451387597
0.14682841203369298,3.735083998598629,"1.5,1,3,1",1.516110322758374,5.251194321357003
0.1882560209919999,3.1895665191938036,"1.5,1,3,1",2.1618490207681385,5.351415539961942
0.23374884423969292,2.676780160335109,"1.5,1,3,1",2.656524140910641,5.33330430124575
0.2844058934385141,2.2116493542491953,"1.5,1,3,1",2.9712387322936853,5.182888086542881
0.3428621442539031,1.7978510344079313,"1.5,1,3,1",3.089232518458803,4.887083552866734
0.41489940557598337,1.4318902750540936,"1.5,1,3,1",2.9874211406508637,4.419311415704957
0.4814575611553486,1.1975633713303926,"1.5,1,3,1",2.7510035206380667,3.9485668919684596
0.5544255224641339,1.0205868529160809,"1.5,1,3,1",2.4176231078679535,3.4382099607840346
0.6286029000875686,0.9001595562365872,"1.5,1,3,1",2.054400366925395,2.954559923161982
0.7084883449923637,0.8167733740994091,"1.5,1,3,1",1.6725379691634403,2.4893113432628495
0.7935873208703733,0.7649710963341964,"1.5,1,3,1",1.2972525839317783,2.0622236802659746
0.8864086173523837,0.7397255109440286,"1.5,1,3,1",0.9338147163646202,1.6735402273086488
0.9883062703692201,0.7401250524545444,"1.5,1,3,1",0.5888792258082376,1.329004278262782
1.101930936471607,0.7681795263424923,"1.5,1,3,1",0.26124895867370823,1.0294284850162005
1.2299622169074877,0.8298984940103934,"1.5,1,3,1",-0.05350563474775727,0.7763928592626361
1.3621722061243613,0.9253972777973808,"1.5,1,3,1",-0.3391604507760704,0.5862368270213104
1.50024009191181,1.0607745942747875,"1.5,1,3,1",-0.6166008796851938,0.4441737145895936
1.6425160899977984,1.242316817961571,"1.5,1,3,1",-0.9010373622433623,0.34127945571820867
1.7897657493985528,1.4819291151451894,"1.5,1,3,1",-1.213968437010908,0.2679606781342813
1.9414362108160221,1.7937180439120637,"1.5,1,3,1",-1.5759691618926472,0.2177488820194165
2.096719900208015,2.1947949567320517,"1.5,1,3,1",-2.0087457677348777,0.18604918899717393
2.2525233723634783,2.6972153840847106,"1.5,1,3,1",-2.526789420893187,0.17042596319152378
2.4035024002803804,3.297531772953111,"1.5,1,3,1",-3.1274268483026364,0.17010492465047483
2.544167243885775,3.972347057183023,"1.5,1,3,1",-3.7866015709315883,0.18574548625143467
2.6738075998382684,4.700870761775167,"1.5,1,3,1",-4.480224132678359,0.2206466290968076
2.791344438136385,5.44617144514376,"1.5,1,3,1",-5.1648309537799575,0.2813404913638026
2.8983314594575207,6.175040879558367,"1.5,1,3,1",-5.79511100720307,0.37992987235529674
2.99662717850003,6.84560427292579,"1.5,1,3,1",-6.308997273630015,0.5366069992957749
3.089151896800457,7.405187767319804,"1.5,1,3,1",-6.618482110719718,0.7867056566000856
3.1787623286669686,7.76459673518284,"1.5,1,3,1",-6.575967250553388,1.1886294846294514
3.276285473066384,7.752543179964131,"1.5,1,3,1",-5.853929911856363,1.8986132681077683
3.352508307422538,7.306584822952089,"1.5,1,3,1",-4.617852413239849,2.6887324097122405
3.4260880754474132,6.479369410210536,"1.5,1,3,1",-2.890979912359125,3.588389497851411
